series_id,year,period,value,footnote_codes,date,series_title
LNU04032239,2009,M13,10.8,,12/31/09,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032232,2009,M13,12.1,,12/31/09,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032235,2009,M13,9,,12/31/09,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032241,2009,M13,11.7,,12/31/09,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032243,2009,M13,3.6,,12/31/09,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032240,2009,M13,5.3,,12/31/09,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032231,2009,M13,19,,12/31/09,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032242,2009,M13,7.5,,12/31/09,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032236,2009,M13,8.9,,12/31/09,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032234,2009,M13,10.6,,12/31/09,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032238,2009,M13,6.4,,12/31/09,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032237,2010,M13,9.7,,12/31/10,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032240,2010,M13,5.8,,12/31/10,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032232,2010,M13,10.6,,12/31/10,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032233,2010,M13,11.2,,12/31/10,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032235,2010,M13,9.5,,12/31/10,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032236,2010,M13,8.4,,12/31/10,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032243,2010,M13,4.4,,12/31/10,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032242,2010,M13,8.5,,12/31/10,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032239,2010,M13,10.8,,12/31/10,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032234,2010,M13,9.6,,12/31/10,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032231,2010,M13,20.6,,12/31/10,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032241,2010,M13,12.2,,12/31/10,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032238,2010,M13,6.9,,12/31/10,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032234,2011,M13,8.5,,12/31/11,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032233,2011,M13,9.2,,12/31/11,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032238,2011,M13,6.4,,12/31/11,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032239,2011,M13,9.7,,12/31/11,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032242,2011,M13,8.8,,12/31/11,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032232,2011,M13,9,,12/31/11,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032241,2011,M13,11.6,,12/31/11,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032235,2011,M13,8.9,,12/31/11,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032231,2011,M13,16.4,,12/31/11,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032240,2011,M13,5.6,,12/31/11,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032243,2011,M13,4.7,,12/31/11,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032237,2011,M13,7.3,,12/31/11,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032236,2011,M13,8.2,,12/31/11,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032238,2012,M13,5.1,,12/31/12,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032240,2012,M13,5.5,,12/31/12,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032232,2012,M13,7.3,,12/31/12,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032243,2012,M13,4.3,,12/31/12,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032235,2012,M13,8.1,,12/31/12,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032234,2012,M13,7.5,,12/31/12,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032233,2012,M13,7.2,,12/31/12,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032231,2012,M13,13.9,,12/31/12,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032237,2012,M13,7.6,,12/31/12,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032241,2012,M13,10.4,,12/31/12,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032239,2012,M13,8.9,,12/31/12,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032236,2012,M13,6.9,,12/31/12,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032242,2012,M13,7.2,,12/31/12,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032240,2013,M13,4.9,,12/31/13,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032243,2013,M13,4,,12/31/13,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032242,2013,M13,6.9,,12/31/13,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032233,2013,M13,6.3,,12/31/13,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032232,2013,M13,6.6,,12/31/13,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032234,2013,M13,7.1,,12/31/13,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032239,2013,M13,8.3,,12/31/13,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032231,2013,M13,11.3,,12/31/13,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032241,2013,M13,10,,12/31/13,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032236,2013,M13,6.6,,12/31/13,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032238,2013,M13,4.5,,12/31/13,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032235,2013,M13,7.3,,12/31/13,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032237,2013,M13,6.2,,12/31/13,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032243,2014,M13,3.2,,12/31/14,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032232,2014,M13,4.9,,12/31/14,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032238,2014,M13,4,,12/31/14,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032236,2014,M13,5.7,,12/31/14,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032242,2014,M13,5.7,,12/31/14,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032237,2014,M13,5.2,,12/31/14,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032241,2014,M13,8.6,,12/31/14,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032231,2014,M13,8.9,,12/31/14,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032235,2014,M13,6.1,,12/31/14,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032234,2014,M13,5.2,,12/31/14,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032233,2014,M13,4.7,,12/31/14,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032240,2014,M13,4.2,,12/31/14,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032239,2014,M13,6.9,,12/31/14,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032234,2015,M13,4.6,,12/31/15,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032236,2015,M13,4.4,,12/31/15,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032232,2015,M13,4.3,,12/31/15,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032240,2015,M13,3.6,,12/31/15,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032243,2015,M13,2.7,,12/31/15,(Unadj) Unemployment Rate - Government Wage and Salary Workers
LNU04032235,2015,M13,5.5,,12/31/15,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032242,2015,M13,5.2,,12/31/15,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032241,2015,M13,7.9,,12/31/15,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032238,2015,M13,2.6,,12/31/15,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032237,2015,M13,3.9,,12/31/15,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032233,2015,M13,4.1,,12/31/15,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032239,2015,M13,5.6,,12/31/15,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032231,2015,M13,7.3,,12/31/15,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032238,2016,M13,2.7,,12/31/16,"(Unadj) Unemployment Rate - Financial Activities Industry, Private Wage and Salary Workers"
LNU04032234,2016,M13,4.4,,12/31/16,"(Unadj) Unemployment Rate - Non Durable Goods Industry, Private Wage and Salary Workers"
LNU04032242,2016,M13,4.4,,12/31/16,"(Unadj) Unemployment Rate - Other Services Industry, Private Wage and Salary Workers"
LNU04032233,2016,M13,4.2,,12/31/16,"(Unadj) Unemployment Rate - Durable Goods Industry, Private Wage and Salary Workers"
LNU04032240,2016,M13,3.3,,12/31/16,"(Unadj) Unemployment Rate - Education and Health Services, Private Wage and Salary Workers"
LNU04032231,2016,M13,6.3,,12/31/16,"(Unadj) Unemployment Rate - Construction Industry, Private Wage and Salary Workers"
LNU04032235,2016,M13,5,,12/31/16,"(Unadj) Unemployment Rate - Wholesale and Retail Trade, Private Wage and Salary Workers"
LNU04032237,2016,M13,4.6,,12/31/16,"(Unadj) Unemployment Rate - Information Industry, Private Wage and Salary Workers"
LNU04032236,2016,M13,4.2,,12/31/16,"(Unadj) Unemployment Rate - Transportation and Utilities Industry, Private Wage and Salary Workers"
LNU04032232,2016,M13,4.3,,12/31/16,"(Unadj) Unemployment Rate - Manufacturing Industry, Private Wage and Salary Workers"
LNU04032239,2016,M13,5.1,,12/31/16,"(Unadj) Unemployment Rate - Professional and Business Services Industry, Private Wage and Salary Workers"
LNU04032241,2016,M13,6.8,,12/31/16,"(Unadj) Unemployment Rate - Leisure and Hospitality, Private Wage and Salary Workers"
LNU04032243,2016,M13,2.7,,12/31/16,(Unadj) Unemployment Rate - Government Wage and Salary Workers
